type,date,index
NAND,2025-11-11,1054.43
NAND,2025-11-18,1217.88
NAND,2025-11-25,1438.48
NAND,2025-12-02,1633.81
NAND,2025-12-09,1735.53
NAND,2025-12-16,1742.09
NAND,2025-12-23,1860.57
NAND,2025-12-30,1896.1
NAND,2026-01-06,1982.64
NAND,2026-01-13,2011.73
NAND,2026-01-20,2229.82
NAND,2026-01-27,2521.86
NAND,2026-02-03,2567.14
NAND,2026-02-10,2605.37
NAND,2026-02-24,2750.87
NAND,2026-03-03,2901.01
NAND,2026-03-10,3046.26
NAND,2026-03-17,3198.66
NAND,2026-03-24,3229.87
NAND,2026-03-31,3194.62
NAND,2026-04-07,3194.62
NAND,2026-04-14,3164.63
NAND,2026-04-21,3142.68
NAND,2026-04-28,3059.92
NAND,2026-05-12,3029.7
NAND,2026-05-19,3019.45
NAND,2026-05-26,3014.54
NAND,2026-06-02,3014.38
NAND,2026-06-09,3014.38
NAND,2026-06-16,3015.97
NAND,2026-06-23,3010.97
DRAM,2025-11-11,1520.48
DRAM,2025-11-18,1709.71
DRAM,2025-11-25,1909.52
DRAM,2025-12-02,2000.37
DRAM,2025-12-09,2191.25
DRAM,2025-12-16,2217.74
DRAM,2025-12-23,2217.74
DRAM,2025-12-30,2309.29
DRAM,2026-01-06,2561.2
DRAM,2026-01-13,2987.1
DRAM,2026-01-20,3077.44
DRAM,2026-01-27,3132.82
DRAM,2026-02-03,3213.44
DRAM,2026-02-10,3406.87
DRAM,2026-02-24,3406.87
DRAM,2026-03-03,3633.16
DRAM,2026-03-10,3811.51
DRAM,2026-03-17,3968.8
DRAM,2026-03-24,3968.8
DRAM,2026-03-31,3867.57
DRAM,2026-04-07,4049.2
DRAM,2026-04-14,3991.58
DRAM,2026-04-21,3977.51
DRAM,2026-04-28,3938.46
DRAM,2026-05-12,3945.39
DRAM,2026-05-19,3932.44
DRAM,2026-05-26,3913.15
DRAM,2026-06-02,3913.15
DRAM,2026-06-09,3945.05
DRAM,2026-06-16,3974.13
DRAM,2026-06-23,3974.13
