Date,Close,MarCap_millions,KOSPI_Margin_Balance_krw_millions,Leverage_Ratio_%
2020-01-02,2175.17,1461424793.589993,4061820,0.27793561583296605
2020-01-03,2176.46,1462298971.774498,4080601,0.2790538103879124
2020-01-06,2155.07,1448385085.188395,4162646,0.2873991207565186
2020-01-07,2175.54,1462298814.406954,4191505,0.28663806321281166
2020-01-08,2151.31,1446631314.388659,4211678,0.2911369301984065
2020-01-09,2186.45,1470805018.622162,4202096,0.28570041214140596
2020-01-10,2206.39,1484063380.523097,4201428,0.2831030032234268
2020-01-13,2229.26,1499967180.669582,4194931,0.27966818568172885
2020-01-14,2238.88,1506534496.285997,4228913,0.28070469082688654
2020-01-15,2230.98,1501047629.018491,4262453,0.28396520653959156
2020-01-16,2248.05,1513149909.207655,4277367,0.28267965876823126
2020-01-17,2250.57,1515299753.695611,4317402,0.28492065609266026
2020-01-20,2262.64,1524384083.509849,4379350,0.2872865209873273
2020-01-21,2239.69,1508408627.687428,4390841,0.2910909497204141
2020-01-22,2267.25,1526798959.055386,4394250,0.28780802959930457
2020-01-23,2246.13,1512629061.905415,4398996,0.2908178951988872
2020-01-28,2176.72,1466083102.897148,4414481,0.3011071467419876
2020-01-29,2185.28,1472171521.931855,4453538,0.30251488591192494
2020-01-30,2148.0,1446505817.05481,4491672,0.3105187650849111
2020-01-31,2119.01,1427047754.939819,4478932,0.3138599941379596
2020-02-03,2118.88,1427133301.985757,4456013,0.31223523365335015
2020-02-04,2157.9,1454235584.223968,4420757,0.3039918049013409
2020-02-05,2165.63,1460243894.885127,4407226,0.301814376039333
2020-02-06,2227.94,1501460505.978003,4427494,0.29487915149097266
2020-02-07,2211.95,1491013321.310687,4476895,0.30025855141686797
2020-02-10,2201.07,1483846707.096682,4433371,0.2987755391980081
2020-02-11,2223.12,1498338521.859173,4505514,0.30070067172867276
2020-02-12,2238.38,1508346241.84675,4553515,0.30188791364142525
2020-02-13,2232.96,1505295816.622192,4557718,0.3027788923394001
2020-02-14,2243.59,1511254622.615908,4568265,0.30228294634378394
2020-02-17,2242.17,1510109679.102093,4572985,0.3028246930195881
2020-02-18,2208.88,1487436220.977309,4573679,0.3074874025183344
2020-02-19,2210.34,1488454958.761049,4609629,0.3096922061945989
2020-02-20,2195.5,1478574047.802416,4646824,0.31427739496080764
2020-02-21,2162.84,1456692607.497773,4630141,0.3178529894480211
2020-02-24,2079.04,1400516367.868853,4628986,0.33051995008411544
2020-02-25,2103.61,1417275415.217287,4596876,0.3243459916571853
2020-02-26,2076.77,1398569205.665041,4558505,0.32594060998449925
2020-02-27,2054.89,1383776360.997792,4584084,0.33127347230404913
2020-02-28,1987.01,1337716963.290314,4638838,0.3467727574142506
2020-03-02,2002.51,1348109552.183221,4577856,0.33957596343608026
2020-03-03,2014.15,1356176459.905865,4476958,0.330116185640824
2020-03-04,2059.33,1386938608.490669,4490105,0.3237421593509709
2020-03-05,2085.26,1404684361.58403,4503827,0.32062911235952957
2020-03-06,2040.22,1373917955.358746,4520719,0.32903849770415056
2020-03-09,1954.77,1316427699.384929,4535825,0.3445555727913703
2020-03-10,1962.93,1321480461.086756,4564823,0.34543250047344565
2020-03-11,1908.27,1284895600.563685,4551238,0.3542107232683626
2020-03-12,1834.33,1235351151.777928,4562258,0.3693085964613348
2020-03-13,1771.44,1193686836.834111,4515814,0.3783081006385908
2020-03-16,1714.86,1155216110.560059,4335190,0.3752709090854231
2020-03-17,1672.44,1126202983.998029,4004707,0.35559371240371435
2020-03-18,1591.2,1071788837.300586,3861952,0.3603276938138987
2020-03-19,1457.64,982169749.104868,3765934,0.38343005406470776
2020-03-20,1566.15,1054892888.467243,3611615,0.3423679351225572
2020-03-23,1482.46,998450497.948322,3261445,0.3266506458459202
2020-03-24,1609.97,1083695461.251076,3109784,0.286961061589194
2020-03-25,1704.76,1147712134.896263,3094150,0.26959286269807264
2020-03-26,1686.24,1135741554.179897,3087901,0.27188412615841373
2020-03-27,1717.73,1156581472.275771,3075317,0.2658971351104899
