Date,Total_Margin_Balance_krw_millions,KOSPI_Margin_Balance_krw_millions,KOSDAQ_Margin_Balance_krw_millions
20260625,38048381,29389386,8658995
20260624,38632824,29754263,8878561
20260623,38093622,29133243,8960378
20260622,38531191,29470718,9060472
20260619,38478688,29397728,9080960
20260618,37979688,28927467,9052221
20260617,37800525,28843289,8957236
20260616,37385632,28531116,8854516
20260615,37076954,28296079,8780874
20260612,36879281,28110836,8768446
20260611,36656474,27874378,8782096
20260610,36773649,27807841,8965807
20260609,37929018,28573169,9355849
20260608,37790396,28326450,9463946
20260605,37838377,28273482,9564895
20260604,37737597,28031687,9705910
20260602,37709128,27924185,9784943
20260601,37681169,27845647,9835522
20260529,38022681,28024472,9998209
20260528,37068718,27184083,9884635
20260527,36690036,26833716,9856320
20260526,36254787,26399276,9855511
20260522,36355524,26419905,9935618
20260521,36472380,26364442,10107938
20260520,36237024,26003624,10233400
20260519,35856070,25523374,10332696
20260518,36396655,25899488,10497167
20260515,36567516,25987572,10579943
20260514,36469784,25826781,10643004
20260513,36074005,25313547,10760457
20260512,36267738,25403831,10863907
20260511,35998500,25046079,10952421
20260508,35950018,24942683,11007335
20260507,35507187,24553059,10954128
20260506,35429768,24500853,10928915
20260504,35838919,24816912,11022007
20260430,35713079,24683557,11029522
20260429,36068250,25017693,11050556
20260428,35689655,24811639,10878016
20260427,35537755,24652710,10885045
20260424,35463009,24579345,10883664
20260423,35079918,24243090,10836828
20260422,34810689,24058499,10752190
20260421,34694635,23994978,10699657
20260420,34259238,23625640,10633598
20260417,34027932,23509583,10518349
20260416,33872266,23425867,10446400
20260415,33356678,23096979,10259698
20260414,33282445,23040602,10241844
20260413,33216818,22986628,10230189
20260410,32901431,22750606,10150824
20260409,32720017,22636117,10083900
20260408,32730005,22573506,10156499
20260407,32657681,22468639,10189042
20260406,32845902,22643583,10202318
20260403,32443983,22278863,10165120
20260402,32725506,22506384,10219122
20260401,32981021,22609406,10371616
20260331,32922615,22559682,10362934
20260330,32601763,22284736,10317027
20260327,32784474,22456119,10328355
20260326,32752416,22447926,10304490
20260325,33028524,22634659,10393864
20260324,33421855,22845615,10576239
20260323,33348618,22725036,10623582
20260320,33255008,22616375,10638633
20260319,33307626,22691397,10616230
20260318,33487589,22846034,10641555
20260317,33331617,22706498,10625120
20260316,33219147,22620778,10598370
20260313,32683362,22185649,10497713
20260312,32141942,21821252,10320690
20260311,31758385,21609005,10149380
20260310,31803317,21631564,10171753
20260309,31690508,21562347,10128161
20260306,32789896,22348354,10441542
20260305,33694521,22815279,10879241
20260304,33197791,22231204,10966587
20260303,32804073,21778077,11025996
20260227,32668983,21672790,10996193
20260226,32368488,21496796,10871692
20260225,32134040,21399130,10734910
20260224,31960208,21279520,10680687
20260223,31712325,21121450,10590875
20260220,31638448,20977105,10661343
20260219,31593229,20944448,10648781
20260213,31476674,20942212,10534462
20260212,31466410,20960376,10506034
20260211,31318010,20918416,10399594
20260210,31560720,21185393,10375327
20260209,31607698,21182942,10424756
20260206,31099495,20668013,10431482
20260205,30786792,20466799,10319994
20260204,30935180,20623891,10311289
20260203,30539766,20268065,10271701
20260202,30473064,20098211,10374853
20260130,30277851,19854894,10422957
20260129,30092487,19592259,10500228
20260128,29596166,19151033,10445133
20260127,29244996,18784747,10460249
20260126,29346682,18862856,10483826
20260123,29055410,18599163,10456247
20260122,28925745,18452386,10473358
20260121,29082114,18509121,10572993
20260120,29058554,18551999,10506554
20260119,28995014,18472188,10522826
20260116,28933786,18447408,10486379
20260115,28745580,18290635,10454945
20260114,28599293,18198979,10400314
20260113,28657441,18266333,10391107
20260112,28522408,18116833,10405575
20260109,28349745,17941133,10408612
20260108,28190294,17864561,10325733
20260107,27870759,17593221,10277538
20260106,27796261,17590138,10206123
20260105,27622356,17419695,10202661
20260102,27420700,17235406,10185294
20251231,27286469,17126099,10160370
20251230,27299548,17136086,10163462
20251229,27294510,17167807,10126703
20251226,27247572,17131457,10116116
20251224,27270110,17197544,10072566
20251223,27265131,17231418,10033713
20251222,27243930,17207819,10036111
20251219,27266021,17213669,10052352
20251218,27344532,17264651,10079881
20251217,27528779,17389027,10139752
20251216,27337687,17271577,10066110
20251215,27418784,17353166,10065618
20251212,27379592,17340889,10038703
20251211,27391215,17389363,10001852
20251210,27406497,17451839,9954659
20251209,27333487,17414901,9918586
20251208,27355467,17432956,9922511
20251205,27076309,17184317,9891992
20251204,26895874,17094623,9801251
20251203,26831012,17114607,9716405
20251202,26799037,17163357,9635680
20251201,26582351,16941967,9640385
20251128,26445065,16853654,9591410
20251127,26444082,16855553,9588529
20251126,26492119,16861010,9631109
20251125,26666986,16989274,9677712
20251124,26761702,17034147,9727555
20251121,26761247,17028465,9732782
20251120,26847120,17058191,9788929
20251119,26835841,17015793,9820048
20251118,26796568,16946970,9849598
20251117,26602943,16743159,9859785
20251114,26403331,16631690,9771641
20251113,26251500,16481350,9770150
20251112,26009766,16255034,9754732
20251111,25991776,16225900,9765876
20251110,26119765,16291077,9828688
20251107,26216547,16346519,9870028
20251106,25878152,16093351,9784801
20251105,25822465,16062683,9759782
20251104,25511751,15797236,9714514
20251103,25461864,15781983,9679880
20251031,25526891,15817250,9709640
20251030,25272595,15605150,9667445
20251029,25096806,15460011,9636795
20251028,24823045,15206652,9616393
20251027,24776660,15186978,9589681
20251024,24651838,15083364,9568474
20251023,24419952,14890560,9529392
20251022,24241954,14766954,9475000
20251021,23926313,14491256,9435056
20251020,24055155,14604406,9450749
20251017,23879969,14479035,9400933
20251016,23775822,14415042,9360779
20251015,23828839,14483809,9345029
20251014,23558561,14243392,9315170
20251013,23267748,14003454,9264294
20251010,23243706,13985986,9257721
20251002,23341255,14078990,9262265
20251001,23345839,14121818,9224021
20250930,23492840,14244693,9248147
20250929,23463228,14164543,9298686
20250926,23537790,14223322,9314468
20250925,23519906,14226035,9293871
20250924,23364313,14151139,9213174
20250923,23286691,14134036,9152655
20250922,23160995,14046911,9114083
20250919,23036952,13959176,9077777
20250918,22881480,13841904,9039576
20250917,22779657,13800184,8979473
20250916,22527934,13648284,8879650
20250915,22501290,13643602,8857688
20250912,22407225,13620011,8787213
20250911,22436243,13678776,8757467
20250910,22380974,13671464,8709510
20250909,22342404,13678072,8664332
20250908,22253675,13619560,8634115
20250905,22220955,13623224,8597731
